player_id_lead,player_name_lead,game_id_lead,game_date,recieving_yards_lead,recieving_touchdowns_lead,receptions_lead,targets_lead,rush_attempts_lead,rushing_yards_lead,rush_touchdowns_lead,fumbles_lead,fumbles_lost_lead,recieving_yards_avg,recieving_tds_avg,receptions_avg,targets_avg,rush_attmpt_avg,rushing_yards_avg,rush_tds_avg,fumbles_avg,fumbles_lost_avg,Fpts
00-0005091,K.Faulk,2009121308,12/13/2009 0:00,17,0,3,3,10,58,1,0,0,7,0,2,5,12,79,0,0,0,16.5
,,,,,,,,,,,,,12,0,2.5,4,11,68.5,0.5,0,0,0
,,,,,,,,,,,,,7,0,1,1,16,46,0,0,0,0
00-0016098,F.Taylor,2009122706,12/27/2009 0:00,0,0,0,1,11,35,0,0,0,4,0,1,1,21,105,1,0,0,3.5
00-0016098,F.Taylor,2010091202,9/12/2010 0:00,6,0,2,2,14,71,0,0,0,2,0,0.5,1,16,70,0.5,0,0,9.7
,,,,,,,,,,,,,3.333333333,0,1,1.333333333,15.33333333,70.33333333,0.333333333,0,0,0
00-0017915,R.Williams,2009092713,9/27/2009 0:00,29,0,4,5,8,55,1,0,0,3,0,1,1,19,69,0,0,0,18.4
00-0017915,R.Williams,2009100408,10/4/2009 0:00,11,0,1,1,16,85,1,0,0,16,0,2.5,3,13.5,62,0.5,0,0,16.6
00-0017915,R.Williams,2009101200,10/12/2009 0:00,70,0,3,3,11,68,0,0,0,14.33333333,0,2,2.333333333,14.33333333,69.66666667,0.666666667,0,0,16.8
00-0017915,R.Williams,2009102510,10/25/2009 0:00,12,0,2,4,9,80,3,0,0,28.25,0,2.25,2.5,13.5,69.25,0.5,0,0,29.2
00-0017915,R.Williams,2009110107,11/1/2009 0:00,41,0,2,2,8,27,0,0,0,25,0,2.2,2.8,12.6,71.4,1,0,0,8.8
00-0017915,R.Williams,2009111501,11/15/2009 0:00,5,0,2,4,20,102,0,0,0,27.66666667,0,2.166666667,2.666666667,11.83333333,64,0.833333333,0,0,15.7
00-0017915,R.Williams,2009111900,11/19/2009 0:00,19,1,2,4,22,119,2,0,0,28,0,2.333333333,3.166666667,12,69.5,0.833333333,0,0,36.8
00-0017915,R.Williams,2009112901,11/29/2009 0:00,0,0,0,1,27,115,1,0,0,26.33333333,0.166666667,2,3,14.33333333,80.16666667,1,0,0,20.5
00-0017915,R.Williams,2009120613,12/6/2009 0:00,6,0,2,3,18,75,0,0,0,24.5,0.166666667,1.833333333,3,16.16666667,85.16666667,1,0,0,10.1
00-0017915,R.Williams,2009121305,12/13/2009 0:00,7,0,2,2,28,108,1,0,1,13.83333333,0.166666667,1.666666667,3,17.33333333,86.33333333,1,0,0,21.5
00-0017915,R.Williams,2009122008,12/20/2009 0:00,9,0,3,6,20,82,1,0,0,13,0.166666667,1.666666667,2.666666667,20.5,91,0.666666667,0,0.166666667,18.1
00-0017915,R.Williams,2009122704,12/27/2009 0:00,26,0,5,7,10,35,0,0,0,7.666666667,0.166666667,1.833333333,3.333333333,22.5,100.1666667,0.833333333,0,0.166666667,11.1
00-0017915,R.Williams,2010010306,1/3/2010 0:00,4,0,3,5,12,31,0,0,0,11.16666667,0.166666667,2.333333333,3.833333333,20.83333333,89,0.833333333,0,0.166666667,6.5
00-0017915,R.Williams,2010091201,9/12/2010 0:00,0,0,0,1,18,62,0,0,0,8.666666667,0,2.5,4,19.16666667,74.33333333,0.5,0,0.166666667,6.2
00-0017915,R.Williams,2010100400,10/4/2010 0:00,45,1,4,4,8,56,0,0,0,8.666666667,0,2.5,4,17.66666667,65.5,0.333333333,0,0.166666667,20.1
00-0017915,R.Williams,2010101700,10/17/2010 0:00,-1,0,1,1,13,64,0,0,0,15.16666667,0.166666667,2.833333333,4.166666667,16,62.33333333,0.333333333,0,0.166666667,7.3
00-0017915,R.Williams,2010102401,10/24/2010 0:00,0,0,0,2,11,48,0,0,0,13.83333333,0.166666667,2.666666667,4,13.5,55,0.166666667,0,0,4.8
00-0017915,R.Williams,2010103102,10/31/2010 0:00,2,0,1,1,9,47,1,0,0,12.33333333,0.166666667,2.166666667,3.333333333,12,49.33333333,0,0,0,11.9
00-0017915,R.Williams,2010111400,11/14/2010 0:00,6,0,2,2,11,64,0,0,0,8.333333333,0.166666667,1.5,2.333333333,11.83333333,51.33333333,0.166666667,0,0,9
