feature,fpts_corr_mean,boom_corr_mean,seasons_with_data,passes_gate,passes_gate_relaxed,seasons_improved,avg_composite_delta,avg_mae,avg_boom_recall
carry_share_avg,0.3634056169977396,0.11305689073205662,6,False,False,0.0,0.0,5.057,0.81
rz_carries_avg,0.34078226958082825,0.2134729683463299,6,False,False,0.0,0.0,5.057,0.81
explosive_plays_avg,0.2747415757240739,0.22741223805771757,6,False,False,0.0,0.0,5.057,0.81
carry_share_avg_volatility,-0.2151844860358968,-0.14076218318589392,6,False,False,4.0,-0.0031,5.039,0.813
spread_line_avg,0.18345668579929897,0.0856449074350563,6,False,False,3.0,0.0014,5.071,0.81
total_line_avg,0.1620763508151141,-0.005204542387302633,6,False,False,0.0,0.0,5.057,0.81
team_plays_avg,0.14972819035567955,0.09434386032058407,6,True,True,5.0,-0.008,5.043,0.827
opponent_pass_rate_allowed_avg,0.14617000582941655,-0.05805969811846565,6,False,False,4.0,-0.0033,5.034,0.812
team_pass_rate_avg,0.14617000582941655,-0.05805969811846565,6,,,,,,
rz_targets_avg,0.11404429328753247,0.1709742648677192,6,,,,,,
implied_team_total_avg,0.07249972457222477,-0.08244854426978929,6,,,,,,
routes_avg,0.07141192634408441,0.12681827833164885,6,,,,,,
target_share_avg_volatility,-0.060471272315474826,0.02276197910859228,6,,,,,,
target_share_avg,0.044091663290397286,0.09819804422166778,6,,,,,,
carry_share_avg_trend,0.018008436108904152,0.009503926484114593,6,,,,,,
target_share_avg_trend,-0.007943804042273262,-0.1276209951262913,6,,,,,,
offense_snaps_avg,,,6,,,,,,
offense_pct_avg,,,6,,,,,,
injury_opportunity_boost_hist,,,6,,,,,,
injury_opportunity_boost_hist_avg,,,6,,,,,,
team_vacated_usage,,,6,,,,,,
