feature,fpts_corr_mean,boom_corr_mean,seasons_with_data,passes_gate,passes_gate_relaxed,seasons_improved,avg_composite_delta,avg_mae,avg_boom_recall
carry_share_avg,0.4842312156610374,0.1074154839334334,6,False,False,0.0,0.0,4.662,0.715
routes_avg,0.46183450261829445,0.13486669818657235,6,False,False,2.0,0.0007,4.659,0.712
explosive_plays_avg,0.4612098925570823,0.17009417660017742,6,False,False,2.0,0.0024,4.671,0.711
rz_carries_avg,0.45043022048904496,0.10966043646783828,6,False,False,0.0,0.0,4.662,0.715
target_share_avg,0.4153207520212689,0.1176526996606918,6,False,False,0.0,0.0,4.662,0.715
rz_targets_avg,0.33322718695242204,0.06851206700866935,6,False,False,3.0,-0.0021,4.649,0.717
opponent_pass_rate_allowed_avg,0.09976445757381197,0.03934883142428935,6,False,False,3.0,-0.0069,4.617,0.721
team_pass_rate_avg,0.09955478405533934,0.03934883142428935,6,False,False,4.0,-0.0074,4.612,0.721
carry_share_avg_trend,0.08868575475679612,0.03683084042439031,6,,,,,,
total_line_avg,0.08554616175485684,0.04492478800293049,6,,,,,,
implied_team_total_avg,0.07912982435953754,0.0470544475020975,6,,,,,,
team_plays_avg,0.07318041382355854,0.023784130929086808,6,,,,,,
target_share_avg_volatility,-0.05403895576023937,-0.044936861163413444,6,,,,,,
carry_share_avg_volatility,-0.03904766145647839,-0.05121629577338862,6,,,,,,
target_share_avg_trend,0.0358453470753079,-0.039253629406383654,6,,,,,,
spread_line_avg,0.010066344007482178,-0.008684937765864697,6,,,,,,
offense_snaps_avg,,,6,,,,,,
offense_pct_avg,,,6,,,,,,
injury_opportunity_boost_hist,,,6,,,,,,
injury_opportunity_boost_hist_avg,,,6,,,,,,
team_vacated_usage,,,6,,,,,,
