feature,fpts_corr_mean,boom_corr_mean,seasons_with_data,loo_passes_gate,loo_passes_gate_relaxed,loo_seasons_improved,loo_avg_composite_delta,loo_avg_mae,loo_avg_boom_recall,forward_avg_composite_delta,forward_seasons_improved,forward_passes_gate
routes_avg,0.49879525843853995,0.2074979635389715,6,False,False,5.0,0.0024,4.478,0.686,-0.0013,1.0,False
target_share_avg,0.48697174047484587,0.18314648744795567,6,False,False,6.0,0.0048,4.48,0.68,,0.0,False
wopr_avg,0.48320527394577845,0.18888942944482426,6,False,False,4.0,0.0025,4.479,0.686,,0.0,False
explosive_plays_avg,0.46316524723896607,0.21730521435307573,6,False,False,5.0,0.0019,4.481,0.688,-0.0014,3.0,False
rz_targets_avg,0.41240022756949263,0.18050553365434033,6,False,False,4.0,0.0011,4.478,0.689,0.0006,3.0,False
ngs_avg_separation_avg,0.3443051313192418,0.11536176678908559,6,False,False,3.0,0.0007,4.476,0.689,0.0011,2.0,False
adot_avg,0.317562026555768,0.15976001622438404,6,False,False,4.0,0.0018,4.486,0.689,0.0009,2.0,False
deep_target_share_avg,0.22558288649624214,0.13374590306571968,6,False,False,4.0,0.0008,4.481,0.69,-0.0022,4.0,False
ngs_yac_above_expectation_avg,0.21566269033946694,0.08069410551910522,6,False,False,3.0,0.0002,4.476,0.691,-0.0005,4.0,False
narrative_source_count,0.14652116104813848,-0.004759703800378571,6,False,False,3.0,0.0004,4.48,0.691,-0.0008,2.0,False
yt_data_coverage,0.14652116104813848,-0.004759703800378571,6,False,False,3.0,0.0004,4.48,0.691,-0.0008,2.0,False
yt_channel_count,0.14652116104813848,-0.004759703800378571,6,False,False,3.0,0.0004,4.48,0.691,-0.0008,2.0,False
carry_share_avg,0.13416801339250115,0.061081066345542244,6,,,,,,,,,
yt_injury_flag,0.1298962476543472,-0.04696651901066906,6,,,,,,,,,
total_line_avg,0.09467060720479396,0.08911035983061556,6,,,,,,,,,
yt_sentiment_score,0.09340815631296617,-0.04872471620421149,6,,,,,,,,,
rz_carries_avg,0.08966294319393071,0.05043435958575602,6,,,,,,,,,
adot_avg_volatility,-0.0870612433648259,-0.033361412146684415,6,,,,,,,,,
team_plays_avg,0.0781269632307372,0.0121416826438614,6,,,,,,,,,
team_pass_attempts_avg,0.07635573521670506,0.04148477456216782,6,False,False,5.0,0.0014,4.473,0.687,0.0006,3.0,False
spread_line_avg,0.0751508900551735,0.04310847740692852,6,,,,,,,,,
team_pass_rate_avg,0.0717810590025273,0.052085094303552404,6,,,,,,,,,
opponent_pass_rate_allowed_avg,0.07166960826299955,0.05246204504636461,6,,,,,,,,,
yt_late_round_mentions,0.06692503176276199,0.005956184658047832,6,,,,,,,,,
implied_team_total_avg,0.059138405788816815,0.05086939330955486,6,,,,,,,,,
yt_locked_on_mentions,0.05555554980777015,0.046572546789923376,6,,,,,,,,,
deep_target_share_avg_volatility,-0.051087823179464316,-0.025028646559205392,6,,,,,,,,,
target_share_avg_trend,0.05003612985221769,0.012699179536254072,6,,,,,,,,,
wopr_avg_trend,0.04738643595365916,0.009554061218242359,6,False,False,4.0,0.0016,4.479,0.688,-0.0066,6.0,False
yt_reception_perception_mentions,0.040431261939290704,-0.04919469122682992,6,,,,,,,,,
team_proe_avg,0.039642621954584234,0.07241327532677068,6,False,False,4.0,0.0026,4.472,0.684,-0.0006,3.0,False
routes_avg_trend,0.03791063835747439,0.0414546997147181,6,,,,,,,,,
yt_mention_count,0.028514942978364592,-0.06517833726280942,6,,,,,,,,,
target_share_avg_volatility,-0.02667933038156656,-0.02408683441842537,6,,,,,,,,,
wopr_avg_volatility,-0.0253579029725164,-0.022090395235164827,6,False,False,4.0,-0.0008,4.473,0.693,0.0021,1.0,False
yt_mention_delta,-0.016552287284657817,0.013068708118691303,6,,,,,,,,,
yt_role_hype_flag,0.014893746959201565,,6,,,,,,,,,
routes_avg_volatility,0.005670900629522015,-0.0153834186344292,6,,,,,,,,,
def_deep_pass_rate_allowed_avg,0.005595599219439344,0.01597422565055216,6,False,False,3.0,0.0009,4.479,0.69,-0.002,2.0,False
deep_target_share_avg_trend,-0.004743944917746728,0.04945391951460091,6,,,,,,,,,
adot_avg_trend,0.003673192912673794,0.03796740000408036,6,,,,,,,,,
offense_snaps_avg,,,6,,,,,,,,,
offense_pct_avg,,,6,,,,,,,,,
yt_sb_nation_mentions,,,6,,,,,,,,,
yt_draft_sharks_mentions,,,6,,,,,,,,,
yt_fantasy_footballers_mentions,,,6,,,,,,,,,
yt_fantasypros_mentions,,,6,,,,,,,,,
yt_playerprofiler_mentions,,,6,,,,,,,,,
yt_establish_the_run_mentions,,,6,,,,,,,,,
yt_fantasy_points_mentions,,,6,,,,,,,,,
yt_qb_list_mentions,,,6,,,,,,,,,
yt_underdog_fantasy_mentions,,,6,,,,,,,,,
injury_opportunity_boost_hist,,,6,,,,,,,,,
injury_opportunity_boost_hist_avg,,,6,,,,,,,,,
team_vacated_usage,,,6,,,,,,,,,
