receiver,season,avg_tq,plays
T.Hill,2019,0.5216483,29
M.Williams,2018,0.50081295,25
S.Diggs,2025,0.48785523,21
M.Hardman,2021,0.4191037,20
J.Smith-Njigba,2025,0.4185109,20
C.Kupp,2021,0.40654173,21
T.Hill,2020,0.39314908,28
T.McLaurin,2024,0.36535218,20
M.Williams,2019,0.34942606,28
T.Hill,2023,0.34467405,32
Z.Ertz,2024,0.30648518,20
R.Rice,2023,0.30411208,20
N.Gray,2022,0.29623717,20
T.Kelce,2022,0.29334688,20
D.Moore,2020,0.29024127,32
M.Evans,2020,0.2816829,20
D.Johnson,2023,0.2772687,21
M.Thomas,2019,0.26126137,20
J.Chase,2021,0.2606869,21
M.Williams,2020,0.25642776,20
B.Aiyuk,2022,0.25363958,20
T.Hill,2021,0.24833469,23
S.LaPorta,2023,0.2283109,20
D.Moore,2023,0.2237769,25
D.Smith,2022,0.22191605,20
