season,week,player_id,receiver,targets,avg_air_yards,avg_cpoe,target_quality_score,td_rate,data_source
2018,1,00-0021547,A.Gates,4,9.0,-5.237021,-0.1566257,0.0,pbp_proxy
2018,1,00-0022921,L.Fitzgerald,10,9.0,-0.9021351,-0.002166709,0.0,pbp_proxy
2018,1,00-0022943,B.Watson,4,10.25,31.76705,1.1235081,0.0,pbp_proxy
2018,1,00-0023564,D.Sproles,7,-0.42857143,-24.412771,-0.7745175,0.0,pbp_proxy
2018,1,00-0024221,V.Davis,1,6.0,22.677242,0.91996115,0.0,pbp_proxy
2018,1,00-0024334,B.Marshall,6,13.833333,-4.7362094,-0.0780116,0.16666667,pbp_proxy
2018,1,00-0024389,D.Walker,7,6.571429,-11.769659,-0.6175278,0.0,pbp_proxy
2018,1,00-0025394,A.Peterson,3,0.6666667,-14.896515,-0.5284204,0.0,pbp_proxy
2018,1,00-0025396,T.Ginn,7,12.0,21.34289,0.57550013,0.14285715,pbp_proxy
2018,1,00-0025399,M.Lynch,2,-1.0,16.495659,0.33880064,0.0,pbp_proxy
2018,1,00-0025418,G.Olsen,2,12.5,33.436512,1.2823405,0.0,pbp_proxy
2018,1,00-0026035,D.Amendola,6,8.333333,-1.5638723,-0.16721873,0.0,pbp_proxy
2018,1,00-0026176,J.Nelson,4,5.75,0.20532227,-0.4113769,0.0,pbp_proxy
2018,1,00-0026189,D.Jackson,5,23.4,48.498444,2.1076393,0.4,pbp_proxy
2018,1,00-0026345,P.Garcon,6,8.666667,-31.736092,-0.9901738,0.0,pbp_proxy
2018,1,00-0026901,M.Wallace,3,36.333332,-31.430809,-0.4943809,0.0,pbp_proxy
2018,1,00-0026986,M.Crabtree,6,10.166667,-16.996363,-0.4537473,0.16666667,pbp_proxy
2018,1,00-0027029,L.McCoy,3,-3.6666667,-47.192623,-1.5278518,0.0,pbp_proxy
2018,1,00-0027061,J.Cook,12,8.583333,8.697526,0.14328068,0.0,pbp_proxy
2018,1,00-0027656,R.Gronkowski,8,13.375,29.52803,1.0608768,0.125,pbp_proxy
2018,1,00-0027685,E.Sanders,11,9.454545,24.019182,0.707891,0.09090909,pbp_proxy
2018,1,00-0027696,J.Graham,4,10.0,-11.185194,-0.51495624,0.0,pbp_proxy
2018,1,00-0027793,A.Brown,16,11.25,-7.3921337,-0.28645405,0.0625,pbp_proxy
2018,1,00-0027874,De.Thomas,10,6.8,-7.2251577,-0.34628287,0.1,pbp_proxy
