"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Gunner Olszewski","NE","3","WR","3","3","0","52","0","1","0","0","100","6.67","17.33","17.33","10.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.2","0.71","4.73"
"Malik Taylor","GB","3","WR","1","1","0","14","0","0","0","0","100","2","14","14","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4","0.24","2.4"
"Brandon Aiyuk","SF","4","WR","40","25","1","302","1","2","0","4","62.5","9.13","7.55","12.08","4.88","6","4","2","15","16","100","2","1","5","4","50","1","0","16","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.8","0.28","2.76"
"Vyncint Smith","NYJ","1","WR","2","0","0","0","0","0","0","0","0","13.5","0","0","0","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Marquise Brown","BLT","5","WR","32","22","2","253","0","5","1","3","68.8","9.94","7.91","11.5","4.09","10","7","4","31.3","31.8","80","5","4","15.6","18.2","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.3","0.33","3.51"
"Donovan Peoples-Jones","CLV","4","WR","14","9","1","232","0","1","1","1","64.3","20","16.57","25.78","8","3","0","0","21.4","0","0","1","0","7.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","38.2","0.26","4.24"
"Tee Higgins","CIN","5","WR","30","19","0","235","0","1","0","3","63.3","10.03","7.83","12.37","4.16","5","3","1","16.7","15.8","100","1","1","3.3","5.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.5","0.21","2.55"
"Jerry Jeudy","DEN","5","WR","34","15","1","267","1","1","1","7","44.1","12.38","7.85","17.8","7.07","3","1","0","8.8","6.7","0","1","0","2.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.7","0.18","3.38"
"Derrick Willies","CLV","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Dezmon Patmon","IND","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"A.J. Brown","TEN","5","WR","40","30","2","437","2","3","0","2","75","12.8","10.93","14.57","3.87","4","4","3","10","13.3","100","2","2","5","6.7","66.7","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","97.7","0.37","3.26"
"Calvin Ridley","ATL","5","WR","57","36","1","577","4","2","0","5","63.2","15.07","10.12","16.03","3.86","13","5","2","22.8","13.9","100","7","1","12.3","2.8","50","1","0","-7","0","0","0","-7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","117","0.41","3.16"
"Darnell Mooney","CHI","5","WR","33","25","1","246","0","2","0","2","75.8","5.76","7.45","9.84","7.52","7","5","2","21.2","20","100","2","0","6.1","0","0","3","0","23","0","0","0","7.67","1","0","0","0","1","0","33.3","0","0","0","0","0","0","0","63.9","0.25","2.28"
"Robert Foster","WAS","3","WR","6","2","0","37","0","0","0","1","33.3","14.17","6.17","18.5","16","1","0","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7","0.26","2.85"
"Terry McLaurin","WAS","4","WR","30","18","0","155","0","1","0","2","60","8.57","5.17","8.61","2.5","5","2","1","16.7","11.1","100","3","1","10","5.6","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.5","0.15","2.19"
"Miles Boykin","BLT","5","WR","10","5","1","113","0","3","1","0","50","17","11.3","22.6","5.6","6","3","3","60","60","100","3","1","30","20","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.3","0.17","6.86"
"Stanley Morgan Jr.","CIN","4","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Trenton Irwin","CIN","1","WR","2","1","0","5","0","0","0","0","50","5.5","2.5","5","1","1","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5","0.3","1.5"
