player_id_lead,player_name_lead,game_id_lead,game_date,recieving_yards_lead,recieving_touchdowns_lead,receptions_lead,targets_lead,fumbles_lead,fumbles_lost_lead,recieving_yards_avg,recieving_tds_avg,receptions_avg,targets_avg,fumbles_avg,fumbles_lost_avg,Fpts
00-0030874,D.Williams,2016102305,10/23/2016 0:00,0,0,0,1,0,0,25.83333333,0.166666667,2,2.333333333,0,0,0
00-0030874,D.Williams,2016110604,11/6/2016 0:00,20,0,2,3,0,0,19.5,0.166666667,1.5,2,0,0,4
00-0030874,D.Williams,2016111309,11/13/2016 0:00,18,1,1,1,0,0,18,0.166666667,1.666666667,2.166666667,0,0,8.8
00-0030874,D.Williams,2016112008,11/20/2016 0:00,0,0,0,1,0,0,19.33333333,0.166666667,1.333333333,1.833333333,0,0,0
00-0030874,D.Williams,2016112706,11/27/2016 0:00,11,0,2,2,0,0,18.33333333,0.166666667,1.166666667,1.666666667,0,0,3.1
00-0030874,D.Williams,2016120401,12/4/2016 0:00,8,0,2,2,0,0,9,0.166666667,1.166666667,1.666666667,0,0,2.8
00-0030874,D.Williams,2016121106,12/11/2016 0:00,1,1,2,3,0,0,9.5,0.166666667,1.166666667,1.666666667,0,0,8.1
00-0030874,D.Williams,2016122400,12/24/2016 0:00,51,0,2,3,0,0,9.666666667,0.333333333,1.5,2,0,0,7.1
00-0030874,D.Williams,2017010104,1/1/2017 0:00,23,0,3,4,1,1,14.83333333,0.333333333,1.5,2,0,0,4.3
00-0030874,D.Williams,2017092408,9/24/2017 0:00,6,0,1,1,0,0,15.66666667,0.166666667,1.833333333,2.5,0.166666667,0.166666667,1.6
00-0030874,D.Williams,2017100100,10/1/2017 0:00,0,0,0,2,0,0,16.66666667,0.166666667,2,2.5,0.166666667,0.166666667,0
00-0030874,D.Williams,2017100804,10/8/2017 0:00,13,0,1,2,0,0,14.83333333,0.166666667,1.666666667,2.5,0.166666667,0.166666667,2.3
00-0030874,D.Williams,2017101500,10/15/2017 0:00,14,0,3,3,0,0,15.66666667,0.166666667,1.5,2.5,0.166666667,0.166666667,4.4
00-0030874,D.Williams,2017102206,10/22/2017 0:00,18,0,2,3,0,0,17.83333333,0,1.666666667,2.5,0.166666667,0.166666667,3.8
00-0030874,D.Williams,2017102600,10/26/2017 0:00,-1,0,1,2,0,0,12.33333333,0,1.666666667,2.5,0.166666667,0.166666667,0.9
00-0030874,D.Williams,2017110510,11/5/2017 0:00,47,1,6,6,0,0,8.333333333,0,1.333333333,2.166666667,0,0,16.7
00-0030874,D.Williams,2017111300,11/13/2017 0:00,20,0,2,3,0,0,15.16666667,0.166666667,2.166666667,3,0,0,4
00-0030874,D.Williams,2017111911,11/19/2017 0:00,24,0,1,1,0,0,18.5,0.166666667,2.5,3.166666667,0,0,3.4
00-0030874,D.Williams,2017112604,11/26/2017 0:00,14,0,3,5,0,0,20.33333333,0.166666667,2.5,3,0,0,4.4
00-0030874,Dam. Williams,2018091605,9/16/2018 0:00,2,0,1,1,0,0,20.33333333,0.166666667,2.5,3.333333333,0,0,1.2
00-0030874,Dam. Williams,2018092305,9/23/2018 0:00,16,0,2,2,0,0,17.66666667,0.166666667,2.333333333,3,0,0,3.6
00-0030874,Dam. Williams,2018120210,12/2/2018 0:00,7,0,2,2,0,0,20.5,0.166666667,2.5,3,0,0,2.7
00-0030874,Dam. Williams,2018120905,12/9/2018 0:00,16,1,4,5,0,0,13.83333333,0,1.833333333,2.333333333,0,0,11.6
