receiver,season,avg_tq,targets
T.Lockett,2018,1.1037315,77
R.Tonyan,2020,0.80698013,67
D.Hopkins,2021,0.69841635,64
G.Kittle,2024,0.6334486,94
T.Lockett,2019,0.625071,128
K.Shakir,2023,0.6247533,58
J.Jones,2020,0.6057791,68
A.Pierce,2024,0.6045654,69
C.Sims,2020,0.60115576,61
R.Higgins,2018,0.5951499,53
C.Wilson,2021,0.5773211,72
Q.Watkins,2021,0.5598248,70
A.Lazard,2021,0.55877936,61
A.Humphries,2019,0.55247587,53
J.Cook,2019,0.54499036,70
A.Thielen,2024,0.5361422,62
R.Bateman,2024,0.53453887,79
T.Hill,2019,0.52264726,140
P.Freiermuth,2024,0.5217476,82
T.Lockett,2021,0.5194364,108
D.Smith,2023,0.51362973,126
K.Raymond,2022,0.5132475,64
C.Brate,2020,0.5126241,53
M.Thomas,2018,0.5092327,171
C.Samuel,2020,0.5091625,97
