season,week,receiver_player_id,receiver,receiver_player_name,targets,avg_air_yards,avg_cpoe,avg_xyac_epa,target_quality_score,td_rate
2024,22,00-0039894,X.Worthy,X.Worthy,8,13.75,34.563213,0.88479567,1.3734722,0.25
2024,22,00-0034351,D.Goedert,D.Goedert,2,10.5,38.92662,0.5145955,1.3354919,0.0
2024,22,00-0036912,D.Smith,D.Smith,5,14.4,18.981281,1.3094283,0.95337504,0.2
2024,22,00-0033923,K.Hunt,K.Hunt,1,3.0,21.242094,0.85778344,0.55706626,0.0
2024,22,00-0033857,J.Smith-Schuster,J.Smith-Schuster,2,3.0,17.386356,0.6950567,0.45274392,0.0
2024,22,00-0034844,S.Barkley,S.Barkley,7,-0.85714287,4.4358764,1.6054198,0.31402263,0.0
2024,22,00-0035676,A.Brown,A.Brown,5,15.4,2.5955403,0.61683846,0.2453763,0.2
2024,22,00-0036637,N.Gray,N.Gray,1,1.0,16.303974,0.65732396,0.19061872,0.0
2024,22,00-0037741,J.Dotson,J.Dotson,3,10.333333,2.2215297,0.6030994,0.15648468,0.0
2024,22,00-0034386,Ju.Watson,Ju.Watson,1,,,,-0.037661698,0.0
2024,22,00-0030506,T.Kelce,T.Kelce,7,5.6666665,-9.395856,0.51229614,-0.3718388,0.0
2024,22,00-0030564,D.Hopkins,D.Hopkins,6,10.8,-17.393597,0.49884346,-0.7401244,0.16666667
2024,22,00-0037197,I.Pacheco,I.Pacheco,2,0.0,-26.711857,0.6870823,-0.9441199,0.0
2024,22,00-0035662,M.Brown,M.Brown,6,6.5,-30.6696,0.2764913,-1.3883373,0.0
2024,22,00-0033526,S.Perine,S.Perine,1,-1.0,-66.2719,0.46149442,-2.1530602,0.0
2024,22,00-0039236,J.Wilson,J.Wilson,1,2.0,-84.0546,1.4253943,-2.384635,0.0
2024,21,00-0033526,S.Perine,S.Perine,1,0.0,65.641884,0.9837996,2.371769,0.0
2024,21,00-0039912,B.Sinnott,B.Sinnott,1,16.0,36.96077,0.33584687,2.0917144,0.0
2024,21,00-0033555,M.Hollins,M.Hollins,4,21.25,31.73968,0.6040748,1.5046368,0.25
2024,21,00-0036912,D.Smith,D.Smith,4,3.5,27.859476,1.2141836,1.096799,0.0
